llave,probabilidad,auto_cura
4,0.624707934859484,1
7,1.0777562153426201,1
10,1.0777562153426201,1
15,0.6674058694222413,1
20,1.0777562153426201,1
23,1.0777562153426201,1
30,0.624707934859484,1
32,0.6674058694222413,1
39,0.3454181417149933,0
45,1.0777562153426201,1
46,1.0777562153426201,1
47,0.4850630382872385,0
49,0.7836264299899771,1
50,0.3053169043200554,0
53,0.9232713265622225,1
62,1.0777562153426201,1
72,1.0777562153426201,1
76,1.0777562153426201,1
77,0.624707934859484,1
82,1.0777562153426201,1
83,0.624707934859484,1
86,1.0777562153426201,1
87,1.0777562153426201,1
94,-0.23034133838310455,0
98,1.0777562153426201,1
100,1.0777562153426201,1
101,0.624707934859484,1
105,1.0777562153426201,1
106,0.624707934859484,1
107,1.0777562153426201,1
109,1.0777562153426201,1
112,-0.0950363889947925,0
115,1.0777562153426201,1
120,1.0777562153426201,1
122,0.624707934859484,1
123,1.0777562153426201,1
126,1.0777562153426201,1
131,1.0777562153426201,1
132,1.0777562153426201,1
135,1.0777562153426201,1
136,1.0777562153426201,1
139,1.0777562153426201,1
140,0.624707934859484,1
142,1.0777562153426201,1
143,1.0777562153426201,1
151,1.0777562153426201,1
155,1.0777562153426201,1
158,1.0777562153426201,1
162,0.624707934859484,1
166,1.0777562153426201,1
177,1.0777562153426201,1
183,1.0777562153426201,1
194,1.0777562153426201,1
197,1.0777562153426201,1
198,1.0777562153426201,1
199,0.624707934859484,1
201,1.0777562153426201,1
203,1.0777562153426201,1
205,0.9232713265622225,1
208,1.0777562153426201,1
223,1.0777562153426201,1
228,1.0777562153426201,1
230,0.4850630382872385,0
243,1.0777562153426201,1
246,1.0777562153426201,1
254,1.0777562153426201,1
255,1.0777562153426201,1
258,1.0777562153426201,1
259,1.0777562153426201,1
260,1.0777562153426201,1
261,1.0777562153426201,1
264,1.0777562153426201,1
265,-0.7552828457614307,0
266,0.7089536085409445,1
269,1.0777562153426201,1
270,1.0777562153426201,1
279,1.0777562153426201,1
280,1.0777562153426201,1
284,1.0777562153426201,1
287,1.0777562153426201,1
290,1.0777562153426201,1
291,1.0777562153426201,1
294,1.0777562153426201,1
295,1.0777562153426201,1
302,1.0777562153426201,1
313,1.0777562153426201,1
314,1.0777562153426201,1
323,1.0777562153426201,1
335,1.0777562153426201,1
336,1.0777562153426201,1
337,1.0777562153426201,1
338,1.0777562153426201,1
340,1.0777562153426201,1
344,0.4089622477297796,0
347,0.4089622477297796,0
350,0.624707934859484,1
351,0.32386450780735143,0
357,0.624707934859484,1
360,1.0777562153426201,1
371,0.624707934859484,1
374,0.624707934859484,1
378,1.0777562153426201,1
379,1.0777562153426201,1
383,0.624707934859484,1
384,0.624707934859484,1
395,1.0777562153426201,1
401,0.624707934859484,1
403,0.624707934859484,1
405,1.0777562153426201,1
411,1.0777562153426201,1
415,0.9232713265622225,1
418,1.0777562153426201,1
